Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,所有株式数
役職名,氏名,,生年月日,,,略歴,任期,
,,,,,,,,(千株)
,,,,1969年4月,当社入社,,,
,,,,1996年1月,当社第2開発センターチーフエンジニア就,,,
,,,,,任,,,
,,,,1998年6月,当社取締役就任,,,
取締役会長,,,,,,,,普通株式
,内山田 竹,志,1946年8月17日生,2001年6月,当社常務取締役就任,,(注)5,
(代表取締役),,,,,,,,77
,,,,2003年6月,当社専務取締役就任,,,
,,,,2005年6月,当社取締役副社長就任,,,
,,,,2012年6月,当社取締役副会長就任,,,
,,,,2013年6月,当社取締役会長就任,,,
,,,,1977年4月,トヨタ自動車販売(株)入社,,,
,,,,2005年6月,当社広報部長就任,,,
,,,,2007年6月,当社常務役員就任,,,
,,,,2007年9月,トヨタ モーター ノース アメリカ(株)取締,,,
,,,,,役社長就任,,,
取締役副会長,,,,,,,,普通株式
,早 川,茂,1953年9月15日生,2009年6月,トヨタ モーター ノース アメリカ(株)取締,,(注)5,
(代表取締役),,,,,,,,36
,,,,,役社長退任,,,
,,,,2012年4月,当社専務役員就任,,,
,,,,2015年6月,当社取締役・専務役員就任,,,
,,,,2017年4月,当社取締役副会長就任,,,
,,,,2018年1月,(株)国際経済研究所代表取締役就任,,,
,,,,1984年4月,当社入社,,,
,,,,2000年5月,当社Gazoo事業部主査兼国内業務部業務改,,,
,,,,,善支援室主査就任,,,
,,,,2000年6月,当社取締役就任,,,
,,,,2002年6月,当社常務取締役就任,,,
取締役社長,,,,2003年6月,当社専務取締役就任,,,普通株式
,豊 田 章,男,1956年5月3日生,,,,(注)5,
(代表取締役),,,,2005年6月,当社取締役副社長就任,,,"4,752"
,,,,2008年6月,トヨタ モーター ノース アメリカ(株)取締,,,
,,,,,役会長兼CEO就任,,,
,,,,2009年6月,当社取締役社長就任,,,
,,,,2015年6月,東和不動産(株)代表取締役会長就任,,,
,,,,2018年5月,一般社団法人日本自動車工業会会長就任,,,
,,,,1972年4月,当社入社,,,
,,,,2004年6月,(株)デンソー常務役員就任,,,
,,,,2007年6月,(株)デンソー専務取締役就任,,,
,,,,2010年6月,(株)デンソー取締役副社長就任,,,
,,,,2015年6月,(株)デンソー取締役副会長就任,,,
,,,,2016年2月,当社顧問就任,,,
,,,,2017年4月,当社相談役就任,,,
取締役,,,,2018年1月,当社執行役員 (副社長) 就任,,,普通株式
,小 林 耕,士,1948年10月23日生,,,,(注)5,
(代表取締役),,,,2018年1月,(株)デンソー取締役就任,,,24
,,,,2018年6月,当社取締役就任,,,
,,,,2018年6月,(株)デンソー取締役退任,,,
,,,,2018年6月,トヨタ東京販売ホールディングス(株)代表取,,,
,,,,,締役会長就任,,,
,,,,2019年4月,トヨタ東京販売ホールディングス(株)がトヨ,,,
,,,,,タモビリティ東京(株)に社名変更,,,
,,,,2020年4月,当社取締役・執行役員就任,,,
